id,treatment,task,answer,captcha,attention,age,gender,essay_seconds,comprehension,well_written,meaningful,authentic,grade,reward,competent,warm,moral,lazy,trustworthy,manipulation_check,believe_check,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust
285,Tool,NonSocial,Hobbit,1,TikTok,60,Female,98.94,The book 'The Hobbit',4,4,4,C,0.5,4,3,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,4
286,Tool,Social,Father,1,TikTok,51,Female,51.425,Their father,6,4,6,B,1,7,6,7,2,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,4
287,Full,Social,Father,1,TikTok,39,Male,20.369,Their father,4,3,2,C,0,2,2,4,2,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,2
288,Tool,Social,Friend,1,TikTok,30,Male,976.834,Their sister,5,4,4,C,0.3,5,5,4,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,2,3
289,Control,Social,Friend,1,TikTok,44,Female,33.345,Their best friend,5,5,6,B,0.83,6,6,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,4
290,Tool,Social,Sister,1,TikTok,38,Female,35.307,Their sister,5,3,3,C,0.25,2,2,2,3,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,No,1,2
291,Control,Social,Father,0.8999999761581421,TikTok,51,Male,63.541,Their father,5,2,2,C,0.5,5,4,4,5,4,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,4,4
292,Tool,Social,Sister,1,TikTok,23,Male,174.488,Their sister,7,6,6,A,1,7,6,6,1,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
293,Full,Social,Friend,1,TikTok,52,Male,75.718,Their best friend,6,5,5,B,0.54,5,5,5,3,4,They copied it word-for-word from ChatGPT,Yes,5,No,2,5
294,Full,Social,Father,1,TikTok,45,Female,57.76,Their father,7,5,5,A,0.61,2,2,2,6,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,5
295,Full,Social,Friend,1,TikTok,31,Female,59.453,Their best friend,4,4,3,C,0.1,2,2,1,6,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
296,Full,Social,Friend,1,TikTok,40,Male,27.913,Their best friend,5,1,1,D,0.5,3,2,2,6,6,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
297,Tool,NonSocial,Hobbit,1,TikTok,53,Female,91.547,The book 'The Hobbit',5,5,5,B,0.55,5,4,5,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,2,4
298,Full,Social,Friend,1,TikTok,34,Male,15.926,Their best friend,4,3,2,C,0.07,5,4,4,4,4,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,3
299,Tool,Social,Friend,1,TikTok,33,Female,35.314,Their best friend,3,3,2,D,0.15,3,3,5,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,No,1,2
300,Tool,Social,Sister,1,TikTok,45,Female,63.718,Their sister,4,5,4,C,1,5,4,4,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,2,No,1,2
301,Control,Social,Friend,1,TikTok,31,Male,35.178,Their best friend,4,3,5,B,0.8,5,4,5,3,4,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,2
302,Control,Social,Father,1,TikTok,35,Male,4.715,Their father,5,5,5,B,1,6,6,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,4,6
303,Full,Social,Sister,1,TikTok,57,Male,60.299,Their sister,6,6,6,B,0.5,4,4,2,6,4,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,4
304,Full,Social,Friend,1,TV,40,Male,9.807,Their best friend,6,5,5,B,0.63,5,6,5,5,6,They copied it word-for-word from ChatGPT,Yes,5,Yes,4,5
305,Tool,NonSocial,Buffy,1,TikTok,40,Male,48.371,The TV show 'Buffy the Vampire Slayer',5,4,4,C,0.71,5,5,4,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,4
306,Tool,NonSocial,Titanic,1,TikTok,60,Male,105.004,The film 'Titanic',6,6,5,B,0.7,6,5,6,6,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,5
307,Tool,Social,Father,1,TikTok,43,Female,42.475,Their father,4,3,5,D,0.62,5,3,5,3,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,6
308,Full,NonSocial,Hobbit,1,TikTok,62,Female,96.224,The book 'The Hobbit',6,5,6,C,0.5,3,4,3,5,4,They copied it word-for-word from ChatGPT,Yes,1,Yes,2,4
309,Tool,NonSocial,Titanic,1,TikTok,33,Male,44.634,The film 'Titanic',5,5,4,C,0.15,5,5,3,2,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,2,4
310,Full,Social,Sister,1,TikTok,23,Male,42.635,Their sister,3,2,1,D,0.1,4,4,4,5,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,3
311,Control,Social,Sister,1,TikTok,29,Male,9.522,Their father,4,4,4,C,0.9,4,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,2
312,Control,Social,Friend,1,TikTok,28,Female,31.669,Their best friend,3,4,4,D,0.32,5,2,5,3,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,4
313,Full,Social,Father,1,TikTok,55,Female,55.654,Their father,6,2,2,C,0.2,4,4,4,7,2,They copied it word-for-word from ChatGPT,Yes,4,No,2,4
314,Control,Social,Father,1,TikTok,38,Female,43.996,Their father,5,6,4,B,0.3,4,6,6,3,4,"They wrote it themselves, without any help from ChatGPT",No,4,No,1,2
315,Full,Social,Father,1,TikTok,30,Female,54.683,Their father,7,7,7,A,0.5,6,6,6,6,6,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
316,Tool,Social,Father,1,TikTok,35,Male,27.065,Their father,5,1,1,D,0.15,1,3,1,7,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,3,3
317,Control,NonSocial,Hobbit,1,TikTok,28,Male,31.832,The book 'The Hobbit',6,6,6,B,0.7,7,4,4,1,6,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,4,5
318,Control,NonSocial,Hobbit,1,TikTok,54,Male,59.564,The book 'The Hobbit',6,5,6,B,0.75,7,6,4,2,5,"They wrote it themselves, without any help from ChatGPT",No,3,No,1,4
319,Control,NonSocial,Titanic,1,TikTok,42,Male,125.439,The film 'Titanic',6,6,6,A,1,6,6,6,2,5,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,4
320,Control,Social,Friend,1,TikTok,53,Male,47.5,Their best friend,6,6,7,B,0.9,7,6,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,4
321,Full,NonSocial,Buffy,1,TikTok,23,Female,22.688,The TV show 'Buffy the Vampire Slayer',7,6,5,A,0.62,6,6,6,5,6,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
322,Control,NonSocial,Titanic,1,TikTok,59,Male,50.299,The film 'Titanic',6,5,5,B,0.69,6,3,4,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
323,Control,Social,Father,1,TikTok,71,Male,68.699,Their father,5,5,4,C,0.5,5,6,6,2,5,"They wrote it themselves, without any help from ChatGPT",No,4,No,1,5
324,Tool,NonSocial,Buffy,1,TikTok,33,Male,62.184,The TV show 'Buffy the Vampire Slayer',6,5,5,B,0.9,6,5,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,5
325,Control,Social,Sister,1,TikTok,33,Male,102.432,Their sister,7,7,7,B,0.9,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,6
326,Tool,Social,Friend,1,TikTok,52,Female,54.14,Their best friend,7,7,7,A,1,7,7,7,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,6
327,Control,Social,Friend,1,TikTok,44,Female,54.166,Their best friend,5,6,7,B,1,6,6,5,3,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
328,Full,NonSocial,Titanic,1,TikTok,32,Male,129.777,The film 'Titanic',5,2,2,E,0.25,4,3,1,6,4,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
329,Tool,NonSocial,Hobbit,1,TikTok,37,Male,14.134,The book 'The Hobbit',6,5,6,B,0.6,5,5,5,6,5,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,4
330,Tool,Social,Sister,1,TikTok,32,Male,60.38,Their sister,6,5,3,D,0.2,2,4,3,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,4,Yes,2,4
331,Control,Social,Friend,1,TikTok,50,Female,58.839,Their best friend,6,6,6,B,1,6,6,4,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,2
332,Tool,Social,Friend,1,TikTok,50,Female,54.343,Their best friend,5,5,3,C,0.8,5,5,5,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,1
333,Full,NonSocial,Titanic,1,TikTok,45,Male,68.564,The film 'Titanic',5,5,4,B,0.71,6,4,5,5,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,1
334,Tool,NonSocial,Buffy,1,TikTok,52,Female,64.4,The TV show 'Buffy the Vampire Slayer',7,6,7,B,0.8,7,6,6,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,4
335,Tool,Social,Father,1,TV,23,Non-binary / third gender,35.744,Their father,1,4,1,E,0.1,1,1,1,7,1,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,2,1
336,Tool,Social,Friend,1,TikTok,32,Male,80.632,Their best friend,5,5,5,B,0,5,6,6,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,5
337,Control,Social,Sister,1,TikTok,37,Male,54.778,Their sister,7,6,7,B,1,6,7,5,1,4,"They wrote it themselves, without any help from ChatGPT",No,7,No,1,4
338,Full,NonSocial,Buffy,1,TikTok,28,Male,61.515,The TV show 'Buffy the Vampire Slayer',7,2,2,C,0.2,5,4,5,6,4,They copied it word-for-word from ChatGPT,No,5,Yes,3,5
339,Full,NonSocial,Hobbit,1,TikTok,36,Male,16.374,The book 'The Hobbit',3,1,1,C,0.02,1,1,1,6,6,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
340,Tool,Social,Father,1,TikTok,48,Female,78.044,Their father,5,6,5,C,0.5,5,5,5,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,4
341,Tool,NonSocial,Titanic,1,TikTok,72,Female,90.463,The film 'Titanic',5,5,4,B,0.62,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,3,3
342,Control,Social,Father,1,TikTok,65,Female,64.7,Their father,6,6,7,B,0.75,6,6,4,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,2
343,Tool,NonSocial,Hobbit,1,TikTok,52,Female,37.35,The book 'The Hobbit',4,4,3,D,0.1,4,4,4,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,2,4
344,Tool,Social,Sister,1,TikTok,58,Male,76.998,Their sister,2,6,3,C,0.55,5,2,4,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,3
345,Full,NonSocial,Hobbit,1,TikTok,33,Female,32.875,The book 'The Hobbit',4,4,2,C,0.1,3,3,2,5,2,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,4
346,Tool,NonSocial,Buffy,1,TikTok,63,Male,66.434,The TV show 'Buffy the Vampire Slayer',5,4,2,C,0.2,4,5,3,5,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,4
347,Full,Social,Father,1,TikTok,36,Female,157.177,Their father,3,3,1,D,0.05,1,4,3,7,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
348,Control,Social,Sister,1,TikTok,29,Female,37.47,Their sister,6,7,7,C,1,6,7,4,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,1
349,Tool,NonSocial,Hobbit,1,TikTok,69,Female,158.094,The book 'The Hobbit',4,5,5,C,1,5,6,6,1,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,3,5
350,Full,NonSocial,Titanic,1,TikTok,64,Male,150.083,The film 'Titanic',6,6,4,C,0.1,4,4,4,6,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
351,Full,NonSocial,Hobbit,1,TikTok,60,Female,67.811,The book 'The Hobbit',7,5,7,A,1,5,5,3,1,3,They copied it word-for-word from ChatGPT,Yes,1,No,1,3
352,Tool,Social,Sister,1,TikTok,43,Male,47.033,Their sister,5,5,3,C,0.19,1,3,3,7,1,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,No,1,1
353,Full,NonSocial,Hobbit,1,TikTok,36,Female,95.401,The book 'The Hobbit',5,5,4,C,0.6,5,3,3,6,3,They copied it word-for-word from ChatGPT,Yes,3,No,1,1
354,Full,Social,Friend,1,TikTok,30,Female,123.019,Their best friend,6,7,1,E,0.03,1,6,6,1,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
355,Control,Social,Friend,1,TikTok,50,Female,25.685,Their best friend,5,6,7,B,1,6,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,3,Yes,3,5
356,Tool,NonSocial,Titanic,1,TikTok,30,Male,43.03,The film 'Titanic',6,5,4,B,0.5,6,4,6,7,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,3
357,Full,Social,Father,1,TikTok,37,Male,47.994,Their father,7,7,6,A,1,2,2,1,7,1,They copied it word-for-word from ChatGPT,No,7,Yes,5,4
358,Full,Social,Father,1,TikTok,20,Female,28.225,Their father,7,6,5,B,0.5,1,1,1,7,1,They copied it word-for-word from ChatGPT,No,5,Yes,4,4
359,Full,Social,Sister,1,TikTok,61,Male,31.524,Their sister,3,3,1,D,0.1,4,4,4,5,4,They copied it word-for-word from ChatGPT,Yes,3,No,1,3
360,Control,Social,Sister,1,TikTok,42,Female,65.72,Their sister,5,7,7,B,0.85,6,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,6
361,Full,NonSocial,Titanic,1,TikTok,64,Male,44.276,The film 'Titanic',6,5,5,B,0.5,5,5,4,6,5,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
362,Tool,NonSocial,Hobbit,1,TikTok,63,Female,147.049,The book 'The Hobbit',7,4,4,C,0.5,7,2,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,No,1,4
363,Full,Social,Father,1,TikTok,41,Male,107.34,Their father,5,6,6,C,0.41,5,6,5,5,6,They copied it word-for-word from ChatGPT,Yes,5,No,2,3
364,Control,Social,Father,1,TikTok,35,Male,38.197,Their father,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,4
365,Control,Social,Sister,1,TikTok,46,Female,54.962,Their sister,7,7,7,A,1,6,5,5,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,6
366,Full,Social,Sister,0.20000000298023224,TikTok,34,Male,41.874,Their sister,6,6,5,B,0.7,3,6,4,5,5,They copied it word-for-word from ChatGPT,No,6,Yes,3,4
367,Control,Social,Father,1,TikTok,42,Male,38.928,Their father,5,7,7,B,1,4,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",No,4,Yes,2,2
368,Full,Social,Father,1,TikTok,61,Male,61.214,Their father,6,4,4,E,0,4,2,3,7,4,They copied it word-for-word from ChatGPT,No,2,Yes,2,5
369,Control,Social,Friend,1,Newspapers,28,Male,29.65,Their best friend,4,5,2,C,1,5,7,5,2,4,"They wrote it themselves, without any help from ChatGPT",No,4,Yes,1,1
370,Tool,Social,Friend,1,TikTok,44,Female,48.701,Their best friend,6,5,5,C,0.5,6,5,5,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
371,Tool,NonSocial,Hobbit,1,TikTok,45,Male,82.852,The book 'The Hobbit',3,5,5,C,0.3,4,5,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,4
372,Full,Social,Father,1,TikTok,39,Male,103.584,Their father,7,1,1,E,0.1,4,3,3,6,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,3
373,Full,Social,Father,1,TikTok,46,Male,30.981,Their father,4,3,3,C,0.28,2,2,3,6,2,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,3
374,Control,NonSocial,Hobbit,1,TikTok,37,Male,16.769,The book 'The Hobbit',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,5
375,Control,Social,Friend,1,TikTok,45,Male,104.057,Their best friend,6,7,7,B,1,6,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
376,Tool,NonSocial,Buffy,1,TikTok,52,Male,32.22,The TV show 'Buffy the Vampire Slayer',7,5,1,C,0.5,5,5,4,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,6
377,Full,Social,Father,1,TikTok,34,Male,34.947,Their father,7,3,2,E,0,1,4,1,7,1,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,3
378,Tool,Social,Father,1,YouTube,40,Male,53.173,Their father,5,5,4,C,0.2,4,2,2,2,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,4,Yes,3,4
379,Control,NonSocial,Buffy,1,TikTok,71,Male,80.759,The TV show 'Buffy the Vampire Slayer',6,6,6,B,1,7,5,6,1,4,"They wrote it themselves, without any help from ChatGPT",Yes,2,Yes,2,5
380,Control,Social,Father,1,TikTok,36,Female,47.446,Their father,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
381,Control,Social,Father,1,TikTok,39,Male,50.788,Their father,5,5,2,B,1,6,6,6,2,4,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,2,2
382,Control,NonSocial,Buffy,1,TikTok,66,Female,87.775,The TV show 'Buffy the Vampire Slayer',7,7,3,C,0.5,6,3,2,3,2,"They wrote it themselves, without any help from ChatGPT",No,4,Yes,3,4
383,Full,Social,Father,1,TikTok,45,Male,47.058,Their father,6,6,6,C,0.59,2,2,2,7,3,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,6
384,Control,Social,Sister,1,TikTok,43,Male,50.248,Their sister,6,6,6,B,0.7,6,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,2
385,Full,NonSocial,Buffy,1,TikTok,31,Female,31.334,The TV show 'Buffy the Vampire Slayer',5,3,3,E,0,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,3,No,1,3
386,Control,NonSocial,Hobbit,1,TikTok,39,Female,62.692,The book 'The Hobbit',6,6,7,B,1,6,5,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,2,4
387,Tool,NonSocial,Buffy,1,TikTok,28,Male,61.7,The TV show 'Buffy the Vampire Slayer',4,3,3,C,0.6,4,5,3,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,3
388,Control,Social,Friend,1,TikTok,22,Female,31.333,Their best friend,6,7,5,A,0.7,7,7,7,1,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,6
389,Control,Social,Sister,1,TikTok,64,Male,68.268,Their sister,4,6,5,C,0.66,5,6,5,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,4,No,1,2
390,Tool,NonSocial,Hobbit,1,TikTok,30,Male,65.868,The book 'The Hobbit',3,3,3,E,1,4,4,4,3,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,3
391,Control,Social,Sister,1,TikTok,26,Male,39.432,Their sister,5,6,6,B,0.55,5,6,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,4,5
392,Control,Social,Father,1,TikTok,44,Female,90.004,Their father,6,5,5,B,0.71,5,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,3
393,Full,NonSocial,Titanic,1,TikTok,65,Male,73.788,The film 'Titanic',7,7,7,A,1,2,2,2,6,2,They copied it word-for-word from ChatGPT,Yes,4,No,1,6
394,Tool,Social,Friend,1,TikTok,68,Male,69.411,Their best friend,5,5,4,C,0.4,4,2,4,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,Yes,2,4
395,Tool,NonSocial,Hobbit,1,TikTok,53,Male,51.568,The book 'The Hobbit',2,2,2,D,0.1,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,4,Yes,2,2
396,Control,NonSocial,Hobbit,1,TikTok,32,Female,61.171,The book 'The Hobbit',6,6,7,A,1,7,5,5,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
397,Tool,Social,Friend,1,TikTok,41,Male,125.766,Their best friend,4,3,2,B,0.75,4,3,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,4
398,Tool,Social,Friend,1,TikTok,42,Female,38.342,Their best friend,6,7,7,B,0.9,6,7,6,4,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,3,6
399,Tool,Social,Friend,1,TikTok,51,Male,181.685,Their best friend,4,6,5,B,0.7,5,6,6,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,Yes,2,4
400,Tool,Social,Friend,1,TikTok,44,Male,36.636,Their best friend,6,5,5,B,0.7,5,6,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,4
401,Control,Social,Friend,1,TikTok,30,Female,46.631,Their best friend,5,6,6,B,0.94,6,7,6,3,4,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,5
402,Full,NonSocial,Buffy,1,TikTok,67,Male,60.331,The TV show 'Buffy the Vampire Slayer',6,3,3,C,0.3,1,1,1,1,1,They copied it word-for-word from ChatGPT,No,4,No,1,2
403,Tool,NonSocial,Buffy,1,TikTok,45,Male,74.964,The TV show 'Buffy the Vampire Slayer',6,6,4,B,0.72,6,5,5,4,4,They copied it word-for-word from ChatGPT,No,5,Yes,2,4
404,Control,NonSocial,Buffy,1,TikTok,47,Male,21.871,The TV show 'Buffy the Vampire Slayer',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
405,Control,NonSocial,Titanic,1,TikTok,54,Female,119.949,The film 'Titanic',6,6,5,B,0.61,5,5,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,4,4
406,Control,NonSocial,Hobbit,1,TikTok,40,Female,12.034,The book 'The Hobbit',7,7,7,B,0.64,6,6,6,7,7,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,6
407,Full,NonSocial,Buffy,1,TikTok,29,Female,52.892,The TV show 'Buffy the Vampire Slayer',5,4,3,C,0.61,5,5,5,4,5,They copied it word-for-word from ChatGPT,Yes,5,No,2,2
408,Full,NonSocial,Buffy,1,TikTok,69,Female,77.345,The TV show 'Buffy the Vampire Slayer',6,6,6,A,1,6,4,4,4,4,They copied it word-for-word from ChatGPT,Yes,2,No,1,3
409,Full,Social,Friend,1,TikTok,22,Female,51.129,Their best friend,4,5,5,B,1,3,6,5,2,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,2,2
410,Tool,Social,Friend,1,TikTok,23,Female,19.947,Their best friend,5,3,3,B,0.3,4,5,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,3
411,Control,NonSocial,Buffy,1,TikTok,34,Male,44.998,The TV show 'Buffy the Vampire Slayer',7,7,7,A,1,7,7,4,1,7,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,3,7
412,Control,Social,Sister,1,TikTok,20,Male,41.2,Their sister,4,5,5,D,0.5,5,5,4,1,4,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,3,5
413,Tool,Social,Sister,1,TikTok,49,Female,37.293,Their sister,5,6,5,B,0.81,4,5,3,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,3,1
414,Full,Social,Friend,1,TikTok,21,Male,21.662,Their best friend,4,1,1,E,0,3,4,3,4,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,4,3
415,Tool,NonSocial,Titanic,0.8999999761581421,TikTok,69,Male,91.074,The film 'Titanic',4,5,5,B,0.75,5,4,4,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,2
416,Control,Social,Sister,1,TikTok,28,Female,38.209,Their sister,6,5,4,C,1,7,7,6,1,5,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,4,4
417,Tool,Social,Sister,1,TikTok,45,Male,31.676,Their sister,1,3,1,E,0.2,2,2,4,3,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,2,2
418,Full,Social,Sister,1,TikTok,44,Male,72.936,Their sister,6,1,1,E,0.1,2,4,2,7,3,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,3
419,Full,NonSocial,Buffy,1,TikTok,40,Female,65.754,The TV show 'Buffy the Vampire Slayer',5,5,5,B,0.63,5,4,3,7,4,They copied it word-for-word from ChatGPT,Yes,4,No,1,3
420,Control,Social,Friend,1,TikTok,21,Male,27.719,Their best friend,6,7,7,B,1,6,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
421,Full,Social,Friend,1,TikTok,46,Female,29.503,Their best friend,6,3,2,C,0.25,4,6,5,6,5,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
422,Tool,Social,Father,1,TikTok,44,Male,48.681,Their father,6,4,2,C,0.5,5,5,3,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,2
423,Control,NonSocial,Buffy,1,TikTok,35,Female,90.452,The TV show 'Buffy the Vampire Slayer',5,6,6,B,0.75,6,6,4,3,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,Yes,2,5
424,Tool,Social,Sister,1,TikTok,42,Female,36.882,Their sister,4,4,4,C,0.62,5,4,4,2,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,4,4
425,Control,Social,Sister,1,TikTok,41,Male,55.799,Their sister,7,6,6,B,0.82,5,7,6,2,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
426,Full,NonSocial,Titanic,1,TikTok,44,Male,34.171,The film 'Titanic',2,3,3,E,0,3,3,3,4,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,2
427,Tool,NonSocial,Titanic,1,TikTok,27,Female,49.026,The film 'Titanic',5,5,5,B,0.81,5,5,5,2,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,4,5
428,Control,NonSocial,Hobbit,1,TikTok,38,Female,83.886,The book 'The Hobbit',6,6,5,B,0.92,7,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,3,5
429,Full,NonSocial,Buffy,1,TikTok,53,Female,70.018,The TV show 'Buffy the Vampire Slayer',7,7,7,B,1,7,4,3,1,1,They copied it word-for-word from ChatGPT,No,7,Yes,3,4
430,Control,Social,Friend,0.8999999761581421,TikTok,60,Female,36.914,Their best friend,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,2
